,sourceimagefileid,fovimagedate,fovid,instrument,localfilepath,wellname,barcode,cellline,workflow,imaging_mode,gene,latest_segmentation_filename,latest_segmentation_readpath,latest_segmentation_metadata
27724,0274d27ce7744c738fa01d75b950694b,07:44.0,170889,ZSD-1,/allen/programs/allencell/data/proj0/94b/506/5b9/1d7/fa0/738/44c/e77/27c/74d/02/3500004579_100X_ZSD1_20210616-alignV2-Scene-87-P87-F09.ome.tiff,F9,3500004579,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27734,4e915c876464434d854098a52eb2b609,56:48.0,170899,ZSD-1,/allen/programs/allencell/data/proj0/609/b2b/52e/98a/540/4d8/443/646/c87/915/4e/3500004579_100X_ZSD1_20210616-alignV2-Scene-17-P17-F06.ome.tiff,F6,3500004579,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27735,6b6a67ad42974617b4fc2303e141d8e2,02:40.0,170900,ZSD-1,/allen/programs/allencell/data/proj0/8e2/41d/3e1/230/4fc/17b/746/429/7ad/6a6/6b/3500004579_100X_ZSD1_20210616-alignV2-Scene-82-P82-F09.ome.tiff,F9,3500004579,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27738,0e6bcb85a4034206ad592905937033a0,10:45.0,170903,ZSD-1,/allen/programs/allencell/data/proj0/3a0/703/593/290/d59/06a/342/a40/b85/6bc/0e/3500004579_100X_ZSD1_20210616-alignV2-Scene-90-P90-F09.ome.tiff,F9,3500004579,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27740,1b86af9efc5440fab8d86a29214e9459,05:40.0,170905,ZSD-1,/allen/programs/allencell/data/proj0/459/4e9/921/6a2/8d8/fab/440/fc5/f9e/86a/1b/3500004565_100X_ZSD1_20210615-alignV2-Scene-82-P83-F04.ome.tiff,F4,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27742,f35a53a7e56c450daa37c373107fb5f1,21:02.0,170907,ZSD-1,/allen/programs/allencell/data/proj0/5f1/7fb/310/c37/a37/0da/c45/e56/3a7/5a5/f3/3500004565_100X_ZSD1_20210615-alignV2-Scene-38-P39-F03.ome.tiff,F3,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27744,135da0e9e44042e8aaefbef28818cc5e,07:41.0,170909,ZSD-1,/allen/programs/allencell/data/proj0/c5e/18c/288/bef/aef/e8a/042/e44/0e9/5da/13/3500004565_100X_ZSD1_20210615-alignV2-Scene-84-P85-F04.ome.tiff,F4,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27745,77171cc6416a468184f3ada4a700de48,59:48.0,170910,ZSD-1,/allen/programs/allencell/data/proj0/e48/00d/4a7/ada/4f3/818/a46/416/cc6/171/77/3500004579_100X_ZSD1_20210616-alignV2-Scene-20-P20-F06.ome.tiff,F6,3500004579,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27748,e17206c591c04e7c88e463109b39d5da,04:41.0,170913,ZSD-1,/allen/programs/allencell/data/proj0/5da/39d/09b/631/8e4/7c8/04e/91c/6c5/720/e1/3500004579_100X_ZSD1_20210616-alignV2-Scene-84-P84-F09.ome.tiff,F9,3500004579,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27750,edcec2b869314d7bb5c01772600ee79b,15:58.0,170915,ZSD-1,/allen/programs/allencell/data/proj0/79b/0ee/260/177/5c0/7bb/14d/693/2b8/cec/ed/3500004565_100X_ZSD1_20210615-alignV2-Scene-33-P34-F03.ome.tiff,F3,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27752,1e4d3648c1bd4582bd51270e9afdd72f,08:41.0,170917,ZSD-1,/allen/programs/allencell/data/proj0/72f/fdd/e9a/270/d51/82b/d45/c1b/648/4d3/1e/3500004565_100X_ZSD1_20210615-alignV2-Scene-85-P86-F04.ome.tiff,F4,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27755,8b631279b0fb4b578136cffd0e9838ac,01:40.0,170920,ZSD-1,/allen/programs/allencell/data/proj0/8ac/983/d0e/cff/136/578/b4b/b0f/279/631/8b/3500004579_100X_ZSD1_20210616-alignV2-Scene-81-P81-F09.ome.tiff,F9,3500004579,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27765,34bfe778454d49919ddd2f5687ddf789,51:44.0,170930,ZSD-1,/allen/programs/allencell/data/proj0/789/ddf/687/2f5/ddd/919/d49/454/778/bfe/34/3500004565_100X_ZSD1_20210615-alignV2-Scene-09-P9-F02.ome.tiff,F2,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27776,237e9bdeeebf44b0b93f740fb2b8b502,19:02.0,170941,ZSD-1,/allen/programs/allencell/data/proj0/502/b8b/fb2/740/93f/b0b/f44/eeb/bde/7e9/23/3500004565_100X_ZSD1_20210615-alignV2-Scene-36-P37-F03.ome.tiff,F3,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27780,a24c84654cb4403ebd05ca4c33772c1a,58:48.0,170945,ZSD-1,/allen/programs/allencell/data/proj0/c1a/772/c33/ca4/d05/3eb/440/4cb/465/4c8/a2/3500004579_100X_ZSD1_20210616-alignV2-Scene-19-P19-F06.ome.tiff,F6,3500004579,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27788,f021bcf9529a452ca4ef4046e1d8c174,57:47.0,170953,ZSD-1,/allen/programs/allencell/data/proj0/174/d8c/6e1/404/4ef/2ca/a45/529/cf9/21b/f0/3500004565_100X_ZSD1_20210615-alignV2-Scene-15-P15-F02.ome.tiff,F2,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27792,957c6b1e8e2048cca5bd7747899373a6,02:37.0,170957,ZSD-1,/allen/programs/allencell/data/proj0/3a6/937/789/774/5bd/cca/048/8e2/b1e/7c6/95/3500004565_100X_ZSD1_20210615-alignV2-Scene-79-P80-F04.ome.tiff,F4,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27793,9086c248ef6f4880bd90b6885648f906,55:48.0,170958,ZSD-1,/allen/programs/allencell/data/proj0/906/48f/856/b68/d90/80b/f48/ef6/248/86c/90/3500004579_100X_ZSD1_20210616-alignV2-Scene-16-P16-F06.ome.tiff,F6,3500004579,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27797,336f2c6e5c874a7ebee417f1125148a7,08:45.0,170962,ZSD-1,/allen/programs/allencell/data/proj0/8a7/514/112/17f/ee4/7eb/74a/5c8/c6e/6f2/33/3500004579_100X_ZSD1_20210616-alignV2-Scene-88-P88-F09.ome.tiff,F9,3500004579,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27799,a4d588f0fca3408fb5cc76cc89fd8c5c,04:40.0,170964,ZSD-1,/allen/programs/allencell/data/proj0/c5c/fd8/c89/76c/5cc/8fb/340/fca/8f0/d58/a4/3500004565_100X_ZSD1_20210615-alignV2-Scene-81-P82-F04.ome.tiff,F4,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27802,22c617e0bb2f4af8b732c0bd55b7c315,22:04.0,170967,ZSD-1,/allen/programs/allencell/data/proj0/315/b7c/d55/c0b/732/f8b/f4a/bb2/7e0/c61/22/3500004579_100X_ZSD1_20210616-alignV2-Scene-42-P42-F08.ome.tiff,F8,3500004579,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27805,1d50ac3837df457384b1ae7d224b9f11,54:47.0,170970,ZSD-1,/allen/programs/allencell/data/proj0/f11/4b9/d22/ae7/4b1/738/f45/37d/c38/50a/1d/3500004565_100X_ZSD1_20210615-alignV2-Scene-12-P12-F02.ome.tiff,F2,3500004565,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
27811,dd6da32f24214d7dab82b080d111ffa8,18:09.0,170976,ZSD-1,/allen/programs/allencell/data/proj0/fa8/11f/0d1/b08/b82/7da/14d/242/32f/6da/dd/3500004598_100X_ZSD1_20210624-alignV2-Scene-087-P49-F04.ome.tiff,F4,3500004598,AICS-93,['Pipeline 4.8'],Mode A,TERF2,,,
